0000592;/zxdb/sinclair/pokes/Bloodwych (1990)(Image Works).pok
0000594;/zxdb/sinclair/pokes/Bloody (1987)(Grupo Editorial SYGRAN).pok
0000595;/zxdb/sinclair/pokes/Bloody Paws (1990)(G.LL. Software).pok
0000597;/zxdb/sinclair/pokes/Blue Max (1984)(US Gold).pok
0000600;/zxdb/sinclair/pokes/Blue Thunder (1984)(Richard Wilcox Software).pok
0000601;/zxdb/sinclair/pokes/BMX Kidz (1988)(Firebird Software).pok
0000603;/zxdb/sinclair/pokes/BMX Ninja (1988)(Alternative Software).pok
0000605;/zxdb/sinclair/pokes/BMX Racers (1984)(Mastertronic).pok
0000606;/zxdb/sinclair/pokes/Bobby Bearing (1986)(The Edge).pok
0000609;/zxdb/sinclair/pokes/Bobby Yazz Show, The (1991)(Crash).pok
0000610;/zxdb/sinclair/pokes/Bob's Full House (1988)(TV Games).pok
0000611;/zxdb/sinclair/pokes/Bobsleigh (1987)(Digital Integration).pok
0000613;/zxdb/sinclair/pokes/Boid (1992)(Gadtek Games).pok
0000615;/zxdb/sinclair/pokes/Bomb Alley (1984)(Your Computer).pok
0000617;/zxdb/sinclair/pokes/Bomb Jack (1986)(Elite Systems).pok
0000619;/zxdb/sinclair/pokes/Bomb Jack II (1987)(Elite Systems).pok
0000623;/zxdb/sinclair/pokes/Bomber Bob in Pentagon Capers (1985)(Bug-Byte Software).pok
0000625;/zxdb/sinclair/pokes/Bomberman (1983)(Hudson Soft).pok
0000627;/zxdb/sinclair/pokes/Bombfusion (1989)(Mastertronic).pok
0000628;/zxdb/sinclair/pokes/Bombscare (1986)(Firebird Software).pok
0000629;/zxdb/sinclair/pokes/Bonanza Bros. (1992)(US Gold).pok
0000631;/zxdb/sinclair/pokes/Bongo (1984)(Anirog Software).pok
0000632;/zxdb/sinclair/pokes/Bonkers (1983)(Procom Software).pok
0000633;/zxdb/sinclair/pokes/Booty (1984)(Firebird Software).pok
0000636;/zxdb/sinclair/pokes/Borzak (1984)(Channel 8 Software).pok
0000637;/zxdb/sinclair/pokes/Bosconian '87 (1987)(Mastertronic).pok
0000639;/zxdb/sinclair/pokes/Boulder Dash (1984)(Front Runner).pok
0000642;/zxdb/sinclair/pokes/Boulder Dash II Rockford's Riot (1985)(Prism Leisure Corporation).pok
0000644;/zxdb/sinclair/pokes/Boulder Dash III (1986)(Prism Leisure Corporation).pok
0000650;/zxdb/sinclair/pokes/Boulder Dash Construction Kit (1988)(Databyte).pok
0000652;/zxdb/sinclair/pokes/Bounce Panic (1984)(Poppy Soft).pok
0000657;/zxdb/sinclair/pokes/Bounder (1986)(Gremlin Graphics Software).pok
0000660;/zxdb/sinclair/pokes/Bounty Bob Strikes Back (1985)(US Gold).pok
0000662;/zxdb/sinclair/pokes/Bow, The (1987)(The Power House).pok
0000671;/zxdb/sinclair/pokes/Bozy Boa (1983)(CDS Microsystems).pok
0000672;/zxdb/sinclair/pokes/Brad Blasts the Galactic Barbarians (1983)(Express Software).pok
0000673;/zxdb/sinclair/pokes/Brain Damage (1983)(Silversoft).pok
0000674;/zxdb/sinclair/pokes/Brain Sport (1991)(Your Sinclair).pok
0000676;/zxdb/sinclair/pokes/Brainstorm (1983)(Micromega).pok
0000677;/zxdb/sinclair/pokes/Brainstorm (1985)(Bubble Bus Software).pok
0000678;/zxdb/sinclair/pokes/Brainstorm (1987)(Firebird Software).pok
0000682;/zxdb/sinclair/pokes/Brat Attack (1988)(Sinclair User).pok
0000683;/zxdb/sinclair/pokes/BraveStarr (1987)(Go!).pok
0000685;/zxdb/sinclair/pokes/Braxx Bluff (1984)(Micromega).pok
0000687;/zxdb/sinclair/pokes/Break Neck (1990)(Lusitania).pok
0000689;/zxdb/sinclair/pokes/Breakaway (1983)(Procom Software).pok
0000690;/zxdb/sinclair/pokes/Breakout (1982)(C-Tech).pok
0000691;/zxdb/sinclair/pokes/Breakthru (1986)(US Gold).pok
0000694;/zxdb/sinclair/pokes/Brian Bloodaxe (1985)(The Edge).pok
0000698;/zxdb/sinclair/pokes/Brick, The (1989)(Delta Software S.L.).pok
0000700;/zxdb/sinclair/pokes/Bride of Frankenstein (1987)(39 Steps).pok
0000709;/zxdb/sinclair/pokes/Bristles (1984)(State Soft).pok
0000714;/zxdb/sinclair/pokes/Bronx (1990)(Animagic).pok
